CMDLINE /home/mdzaja/installations/miniconda3/envs/mt/bin/python hp_opt.py
MEM 4846.605469 1702668336.9339
MEM 4847.378906 1702668337.0340
MEM 4847.335938 1702668337.1342
MEM 4848.699219 1702668337.2343
MEM 4850.761719 1702668337.3346
MEM 4850.535156 1702668337.4347
MEM 4851.898438 1702668337.5349
MEM 4852.156250 1702668337.6350
MEM 4851.921875 1702668337.7352
MEM 4853.468750 1702668337.8354
MEM 4853.292969 1702668337.9355
MEM 4853.542969 1702668338.0357
MEM 4853.289062 1702668338.1359
MEM 4855.152344 1702668338.2361
MEM 4857.023438 1702668338.3363
MEM 4859.089844 1702668338.4364
MEM 4858.949219 1702668338.5366
MEM 4859.218750 1702668338.6368
MEM 4858.960938 1702668338.7369
MEM 4858.992188 1702668338.8371
MEM 4861.253906 1702668338.9373
MEM 4863.097656 1702668339.0374
MEM 4864.648438 1702668339.1376
MEM 4864.449219 1702668339.2377
MEM 4865.808594 1702668339.3379
MEM 4866.078125 1702668339.4380
MEM 4865.828125 1702668339.5382
MEM 4865.867188 1702668339.6383
MEM 4866.117188 1702668339.7385
MEM 4866.339844 1702668339.8386
MEM 4866.375000 1702668339.9388
MEM 4866.621094 1702668340.0389
MEM 4866.550781 1702668340.1391
MEM 4867.070312 1702668340.2392
MEM 4866.933594 1702668340.3394
MEM 4867.394531 1702668340.4395
MEM 4867.660156 1702668340.5396
MEM 4867.417969 1702668340.6398
MEM 4869.277344 1702668340.7400
MEM 4869.273438 1702668340.8402
MEM 4870.640625 1702668340.9403
MEM 4870.906250 1702668341.0405
MEM 4870.648438 1702668341.1407
MEM 4870.660156 1702668341.2408
MEM 4872.210938 1702668341.3410
MEM 4872.031250 1702668341.4412
MEM 4872.703125 1702668341.5413
MEM 4874.250000 1702668341.6415
MEM 4874.058594 1702668341.7416
MEM 4874.078125 1702668341.8418
MEM 4875.625000 1702668341.9420
MEM 4875.437500 1702668342.0421
MEM 4876.796875 1702668342.1423
MEM 4877.066406 1702668342.2424
MEM 4878.164062 1702668342.3426
MEM 4878.187500 1702668342.4427
MEM 4878.437500 1702668342.5429
MEM 4879.050781 1702668342.6430
MEM 4881.121094 1702668342.7432
MEM 4880.886719 1702668342.8434
MEM 4880.914062 1702668342.9435
MEM 4881.171875 1702668343.0437
MEM 4880.925781 1702668343.1439
MEM 4880.953125 1702668343.2440
MEM 4880.933594 1702668343.3442
MEM 4880.945312 1702668343.4444
MEM 4881.468750 1702668343.5446
MEM 4881.453125 1702668343.6448
MEM 4882.808594 1702668343.7450
MEM 4883.074219 1702668343.8451
MEM 4884.648438 1702668343.9452
MEM 4886.199219 1702668344.0454
MEM 4886.000000 1702668344.1456
MEM 4887.851562 1702668344.2457
MEM 4888.324219 1702668344.3458
MEM 4889.687500 1702668344.4460
MEM 4889.957031 1702668344.5462
MEM 4889.695312 1702668344.6464
MEM 4890.230469 1702668344.7465
MEM 4890.207031 1702668344.8466
MEM 4890.664062 1702668344.9468
MEM 4890.929688 1702668345.0470
MEM 4890.679688 1702668345.1471
MEM 4890.949219 1702668345.2473
MEM 4890.687500 1702668345.3474
MEM 4890.707031 1702668345.4476
MEM 4891.734375 1702668345.5478
MEM 4891.691406 1702668345.6480
MEM 4891.730469 1702668345.7481
MEM 4891.960938 1702668345.8483
MEM 4891.718750 1702668345.9484
MEM 4891.988281 1702668346.0486
MEM 4891.742188 1702668346.1488
MEM 4891.757812 1702668346.2489
MEM 4892.023438 1702668346.3491
MEM 4891.773438 1702668346.4493
MEM 4891.800781 1702668346.5495
MEM 4891.781250 1702668346.6496
MEM 4891.796875 1702668346.7498
MEM 4892.062500 1702668346.8500
MEM 4891.808594 1702668346.9502
MEM 4891.828125 1702668347.0504
MEM 4892.093750 1702668347.1505
MEM 4891.832031 1702668347.2507
MEM 4891.855469 1702668347.3509
MEM 4892.121094 1702668347.4510
MEM 4891.871094 1702668347.5512
MEM 4891.882812 1702668347.6514
MEM 4892.156250 1702668347.7515
MEM 4891.910156 1702668347.8517
MEM 4891.921875 1702668347.9519
MEM 4893.468750 1702668348.0520
MEM 4893.281250 1702668348.1522
MEM 4893.738281 1702668348.2524
MEM 4894.003906 1702668348.3525
MEM 4893.753906 1702668348.4527
MEM 4893.769531 1702668348.5529
MEM 4894.035156 1702668348.6530
MEM 4912.089844 1702668348.7532
MEM 4912.605469 1702668348.8533
MEM 4912.808594 1702668348.9535
MEM 4912.828125 1702668349.0536
MEM 4821.640625 1702668349.1538
MEM 4822.523438 1702668349.2540
MEM 4822.781250 1702668349.3542
MEM 4823.855469 1702668349.4544
MEM 4823.863281 1702668349.5545
MEM 4823.863281 1702668349.6547
MEM 4824.871094 1702668349.7548
MEM 4825.339844 1702668349.8550
MEM 4825.667969 1702668349.9551
MEM 4826.152344 1702668350.0553
MEM 4826.984375 1702668350.1554
MEM 4827.238281 1702668350.2556
MEM 4827.929688 1702668350.3558
MEM 4828.710938 1702668350.4560
MEM 4829.218750 1702668350.5562
MEM 4830.031250 1702668350.6563
MEM 4830.285156 1702668350.7564
MEM 4830.972656 1702668350.8566
MEM 4831.687500 1702668350.9567
MEM 4832.199219 1702668351.0569
MEM 4833.105469 1702668351.1570
MEM 4833.121094 1702668351.2572
MEM 4834.074219 1702668351.3574
MEM 4834.632812 1702668351.4575
MEM 4835.144531 1702668351.5577
MEM 4836.195312 1702668351.6578
MEM 4836.210938 1702668351.7580
MEM 4837.191406 1702668351.8582
MEM 4837.750000 1702668351.9584
MEM 4838.261719 1702668352.0586
MEM 4838.523438 1702668352.1588
MEM 4839.339844 1702668352.2590
MEM 4839.851562 1702668352.3592
MEM 4840.367188 1702668352.4594
MEM 4853.773438 1702668352.5595
